"User","arroba","hora de publicación","comentario","comentario_editado","Xóchitl","Claudia","Maynez","Ninguno"
"ChSPm Claudia","@TomasElOdioso2","10:58"," EleccionesMexico2024  YoYaVotePorXochitl  XochitlGálvezPresidenta24","elecciones en méxico 2024 yo ya voté por xochitl xochitl galvez presidenta 2024","1","0","0","0"
"A. Magenta","@MagentaHT","10:56","De los tres candidatos la que mejor me convenció fue  ClaudiaPresidentaDeMéxico2024. A Maynez le faltó poco para convencerme.","de los tres candidatos la que mejor me convenció fue claudia será la siguiente presidenta de méxico en 2024.a maynez le faltó poco para convencerme.","0","1","1","0"
"Naiki","@NaicaMena","10:56","En respuesta a @Lopez Obrador_  AmloEsLaFuerzaDelAmor ❤️  EleccionesMexico2024","en respuesta a Lopez Obrador_ AMLO es la fuerza del amor elecciones en méxico 2024","0","1","0","0"
"Ovejuelafeliz 🗽🕎✝️❤️‍🔥","@ovejuelafeliz","10:55","Xochitl, presidenta, es 4to lugar en tendencia nacional 😍  EleccionesMéxico2024  XóchitlGálvezPresidenta","xochitl,presidenta,es 4ta transformación lugar en tendencia nacional elecciones en méxico 2024 xochitl gálvez será la presidenta","1","0","0","0"
"Eduardo Molina","@ed_moliin","10:54","Un voto de agradecimiento a AMLO. Un voto en conciencia por México. La 4T Va!!!! Al rato todos al zócalo!!!!  EleccionesMéxico2024  ClaudiaArrasará  PlanC_YaEstáEnMarcha","un voto de agradecimiento a amlo.un voto en conciencia por méxico.la 4ta transformación va!!!!al rato todos al zócalo!!!!elecciones en méxico 2024 Claudia arrasará en las votaciones el Plan C ya está en marcha","0","1","0","0"
"Kon Kau Chuey • 徐 光 球","@konkauchuey","10:53","SALGAN A VOTAR POR TODOS AQUELLOS IRRESPONSABLES COMO YO QUE NO CUIDARON SU INE Y LA DEJARON PERDER.  EleccionesMéxico2024  VOTA  4T","salgan a votar por todos aquellos irresponsables como yo que no cuidaron su INE y la dejaron perder.elecciones en méxico 2024 vota 4ta transformación","0","1","0","0"
"Pepe le Bull","@PepeLeBull","10:53","En respuesta a @REPORTINQUIETO y @XochitlGalvez Acá el mío. @SandraCuevas_ pedi mi apoyo y así se lo di.  EleccionesMexico2024","en respuesta a reportinquieto y xochitl galvez acá el mío.sandracuevas_ pedí mi apoyo y así se lo di.elecciones en méxico 2024","1","0","0","0"
"Omg","@amps7x","10:52","Ya voté por ti @XochitlGalvez @STaboadaMx  EleccionesMéxico2024 no nos defrauden.","ya voté por ti xochitl galvez staboadamx elecciones en méxico 2024 no nos defrauden.","1","0","0","0"
"Arturo R","@aredingb","10:52","Para que continúe el Segundo piso de la transformación de la vida pública de México 🇲🇽. Mi voto 🗳️ fue todo MORENA.  EleccionesMéxico2024","para que continúe el segundo piso de la transformación de la vida pública de méxico.mi voto fue todo morena.elecciones en méxico 2024","0","1","0","0"
"Erick Gómez C","@ergomezc30","10:50","Vamos con todo…  XochitlGálvezPresidenta24  EleccionesMéxico2024  VotoMasivoPorXochitl","vamos con todo xochitl galvez presidenta 2024 elecciones en méxico 2024 voto masivo por xochitl","1","0","0","0"
"Fernanda Molina🐑🐕","@Mafer_26","10:47","¡Que siga la transformación!🫰 EleccionesMéxico2024  ClaudiaPresidentaDeMéxico","¡que siga la transformación!elecciones en méxico 2024 Claudia será presidenta de México","0","1","0","0"
"serah Rodri","@RodriSerah12521","10:45","Cumplimos con nuestro deber ciudadano, tres votos para Xóchitl.😀😄  XochitlGálvezPresidenta24","cumplimos con nuestro deber ciudadano,tres votos para xochitl.xochitl galvez presidenta 2024","1","0","0","0"
"El Amputazurdos 🪓","@androrush","10:45","Ni un voto a las ratas de Morena.  EleccionesMéxico2024  XochitlGálvezPresidenta24","ni un voto a las ratas de morena.elecciones en méxico 2024 xochitl galvez presidenta 2024","1","-1","0","0"
"cinemusicmexico","@cinemusicmexico","10:44","Mi voto por la futura Presidenta @claudia sheinbaum  EleccionesMéxico2024","mi voto por la futura presidenta claudia sheinbaum elecciones en méxico 2024","0","1","0","0"
"Aletse","@nflera27","10:43","Ella es el rostro que representa a millones de mexicanos  YoVotarePorXóchitl 🤞🏻🩷  EleccionesMéxico2024","ella es el rostro que representa a millones de mexicanos yo votaré por xochitl elecciones en méxico 2024","1","0","0","0"
"Daniel Filorio","@dxniel_rf","10:39","Por un  MexicoSinMiedo 🤞🏻🩷  MiVotoEsParaXóchitl  EleccionesMéxico2024","por un México sin miedo mi voto es para xochitl elecciones en méxico 2024","1","0","0","0"
"Nubia2","@Nubiap38","10:36","Ya voté, ¿Ustedes ya lo hicieron?  EleccionesMéxico2024  ClaudiaPresidentaDeMéxico2024","ya voté,¿ustedes ya lo hicieron?elecciones en méxico 2024 claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Elisa Calderon R.","@elisacalderonr","10:59"," XóchitlGálvezPresidenta","xochitl gálvez será la presidenta","1","0","0","0"
"Ari Rodriguez Lugo 🏳️‍⚧️","@AriRodriguezMX","10:59","Que si eres LGBT+ tienes que votar por la 4T. Pues no chiquites. Siempre hay opciones.  XóchitlGálvezPresidenta","que si eres lgbt tienes que votar por la 4ta transformación.pues no chiquites.siempre hay opciones.xochitl gálvez será la presidenta","1","-1","0","0"
"Eduardo M. “X”","@EduardoMMI6","10:58","Mi voto y el de dos amigos más.  XóchitlGálvezPresidenta","mi voto y el de dos amigos más.xochitl gálvez será la presidenta","1","0","0","0"
"💕Maribel💕💋","@ogribell","10:58","Llegué a mi casilla a las 7:20am. Pues dieron las 8am y nada que abrieron la casilla...  XóchitlGálvezPresidenta","llegué a mi casilla electoral a las 7:20am.pues dieron las 8am y nada que abrieron la casilla electoral...xochitl gálvez será la presidenta","1","0","0","0"
"Claudia de la Cerda X","@ccer0603","10:56","En respuesta a @REPORTINQUIETO y @XochitlGalvez  XóchitlGálvezPresidenta a darle raza que ya ganamos!","en respuesta a reportinquieto y xochitl galvez xochitl gálvez será la presidenta a darle raza que ya ganamos!","1","0","0","0"
"Jonathan Sjon","@sjonmx","10:55","Hay ama... sin miedo.  EleccionesMéxico2024  XóchitlGálvezPresidenta","hay ama...sin miedo.elecciones en méxico 2024 xochitl gálvez será la presidenta","1","0","0","0"
"Ramiro López","@soyramirolopez","10:50","En respuesta a @Bibymar También ya. ¡Qué emoción, qué nervios!  XóchitlGálvezPresidenta","en respuesta a bibymar también ya.¡qué emoción,qué nervios!xochitl gálvez será la presidenta","1","0","0","0"
"armandofdz","@armandofdz_","10:44","Yo ya voté 🗳️  XochitlGálvezPresidenta  EleccionesMéxico2024  VotaMexico2024","yo ya voté xochitl gálvez será la presidenta elecciones en méxico 2024 vota méxico 2024","1","0","0","0"
"𝐸𝓈𝓅𝓇𝑒𝓈𝓈𝑜","@EnnemiParfait","10:43"," Elecciones2024MX Listo! Hice fila en el sol… pero ya votamos!  YoVotéPorXóchitl  XochitlGálvezPresidenta","elecciones en méxico 2024 listo!hice fila en el sol pero ya votamos!ya voté por xochitl xochitl gálvez será la presidenta","1","0","0","0"
"Irving Centeno O","@sonimzt","10:41","Mi voto listo ✅ XochitlGálvezPresidenta","mi voto listo xochitl gálvez será la presidenta","1","0","0","0"
"Miguel Rodriguez","@miguelr_mx","10:39","Vamos con @XochitlGalvez 🫶🏼  XochitlGálvezPresidenta 🤞🏼","vamos con xochitl galvez xochitl gálvez será la presidenta","1","0","0","0"
"Oscar San Luis","@oscar_slsl","10:39","Por mi parte... @partido MORENA te puedes ir de puntitas a chinga tu puta madre 🗳️  XóchitlGálvezPresidenta","por mi parte...partido MORENA te puedes ir de puntitas a chinga tu puta madre xochitl gálvez será la presidenta","1","-1","0","0"
"Soldatino di Ferro","@AbramCalzada","10:22","Es un honor sacar a Obrador.  EleccionesMexico2024  ElecciónPresidencial","es un honor sacar a obrador.elecciones en méxico 2024 elección presidencial","0","1","0","0"
"Juan Medina","@doctorjuanito","10:59","Que siga la transformación. ❤️  ChairoHastaLasChanclas.  EleccionesMéxico2024","que siga la transformación.chairohastalaschanclas.elecciones en méxico 2024","0","1","0","1"
"YOLLOXAN","@XANTILTI","10:57","Nikan tochantzinco ope keh las 8:20am neh o ni tlamahchoti las 9:32am nocni  amlo Miek toc.  EleccionesMéxico2024","nikan tochantzinco ope keh las 8:20am neh o ni tlamahchoti las 9:32am nocni amlo miek toc.elecciones en méxico 2024","-1","0","0","0"
"LUCIRBDF","@LUCIRBDF","10:55","Mi voto para SANTIAGO TABOADA.  XóchitlGálvezPresidenta  ElecciónPresidencial","mi voto para santiago Taboada.xochitl gálvez será la presidenta elección presidencial","1","0","0","0"
"Asileg","@A_EliG_12","10:50"," EleccionesMéxico2024  ElecciónPresidencial votando por la  4taTransformación","elecciones en méxico 2024 elección presidencial votando por la 4ta Transformación","0","1","0","0"
"Nutrias al poder","@NutriarcadoYa","10:48","Las nutrias ejercimos el único voto cruzado útil.  EleccionesMéxico2024","las nutrias ejercimos el único voto cruzado útil.elecciones en méxico 2024","0","0","0","1"
"Andrea","@andreaort23","10:07"," VotaPorMéxico  YoYaVotéXXóchitl  MexicoDespierta  MexicoVaConX","voto por méxico yo ya voté por xochitl méxico despierta méxico va con xochitl","1","0","0","0"
"I’m a Millennial","so? 🥑","10:41","54m,A CHASPM MORENA!!!  EleccionesMexico2024  ElecciónPresidencial","54m,a chingue su puta madre morena!!!elecciones en méxico 2024 elección presidencial","0","-1","0","0"
"Lucia Mayoral","@LuciaMayoral10","12:48"," yovotéporxóchitl","ya voté por xochitl","1","0","0","0"
"Lucero M ✨💫🔆✴️","@Lucero_mark35","12:48","respondiendo a @MYunesMarquez Mi voto para @MYunesMarquez  yovotéporxóchitl  VotoÚtilXMéxico","respondiendo a myunesmarquez mi voto para myunesmarquez ya voté por xochitl voto útil por méxico","1","-1","0","0"
"Gustavo Montoya","@Gustavomontoyao","12:47"," EleccionesMéxico2024  YoVotéPorXóchitl  XochitlGálvezPresidenta","elecciones en méxico 2024 ya voté por xochitl xochitl gálvez será la presidenta","1","0","0","0"
"César","@C3zr_25","12:46","Primera vez ejerciendo mi derecho al voto, por lo mejor para México❤️  XochitlGálvezPresidenta24  yovotéporxóchitl  XoxhitlGálvezPresidente2024  XochitlYaGanó","primera vez ejerciendo mi derecho al voto,por lo mejor para méxico xochitl galvez presidenta 2024 ya voté por xochitl xochitl galvez presidenta 2024 xochitl ya ganó","1","0","0","0"
"Diego Picazo","@KsEPicazo","12:45"," yovotéporxóchitl apoco había otra opción?","ya voté por xochitl apoco había otra opción?","1","0","0","0"
"Monset🌻💅🏼👠💥","@FerMond20","12:43","respondiendo a @MaxKaiser75  YoVotéPorXóchitl","respondiendo a maxkaiser75 ya voté por xochitl","1","0","0","0"
"Asu!","@_iguana_morida_","12:41","respondiendo a @Juan_OrtizMX Que vayan y chinguen a su madre los chairos. No somos bots. Somos los millones de ciudadanos hartos de esos pinches ineptos, hambreados y resentidos.  YoVotarePorXóchitl  YoVotePorXochitl  YaSeVan","respondiendo a juan_ortizmx que vayan y chinguen a su madre los chairos.no somos bots.somos los millones de ciudadanos hartos de esos pinche ineptos,hambreado y resentidos.yo votaré por xochitl yo voté por xochitl MORENA ya se va","1","-1","0","0"
"Miguel_Mata","@MiguelMataSLP","12:41","Hoy Todo Morena se va a la Sheingada. Vamos México con Xóchitl.  EleccionesMéxico2024  YoVotéPorXóchitl  ElecciónPresidencial","hoy todo morena se va a la sheingada.vamos méxico con xochitl.elecciones en méxico 2024 ya voté por xochitl elección presidencial","1","-1","0","0"
"Francisco Sánchez C. 🇲🇽","@PacoSanchezCerv","12:36","La democracia permite la libre elección de un proyecto de gobierno, respetar a quien piensa diferente e incluir a todas las voces en la vida pública. Por un  México con democracia plena, salgamos a votar!  EleccionesMéxico2024  XochitlGálvezPresidenta24  yovotéporxóchitl","la democracia permite la libre elección de un proyecto de gobierno,respetar a quien piensa diferente e incluir a todas las voces en la vida pública.por un méxico con democracia plena,salgamos a votar!elecciones en méxico 2024 xochitl galvez presidenta 2024 ya voté por xochitl","1","0","0","0"
"Giio D Sanchz","@RestaurandoO","12:35","No fue la mejor opción pero fue la menos peor para mandar a chspm a los morenacos  yovotéporxóchitl","no fue la mejor opción pero fue la menos peor para mandar a chingue su puta madre a los morenacos ya voté por xochitl","1","-1","0","0"
"Michael Angelo","@MichaelAngeloZN","12:34"," YoVotéPorXóchitl","ya voté por xochitl","1","0","0","0"
"Don George","@DarkGeorgeFire","12:34"," YoVotéPorXóchitl  YoVotarePorXóchitl","ya voté por xochitl yo votaré por xochitl","1","0","0","0"
"Luka","@MardmeV","12:31"," EleccionesMéxico2024  YoVotéPorXóchitl","elecciones en méxico 2024 ya voté por xochitl","1","0","0","0"
"Leo DA VINCI.","@Romanz1999","12:31","respondiendo a @LOVREGA  YoVotéPorXóchitl","respondiendo a lovrega ya voté por xochitl","1","0","0","0"
"Alejandro CG","@acavazosgon","12:30"," YoVotéPorXochitl","yo voté por xochitl","1","0","0","0"
"Jacobo Vera","@jacobovera","12:29"," EleccionesMéxico2024  yovotéporxóchitl","elecciones en méxico 2024 ya voté por xochitl","1","0","0","0"
"Dr. TIEMPO","@TiempoDetenido","12:44","Elijo creer xochitl","elijo creer xochitl","1","0","0","0"
"Castro Cornejo ...","@joseluisks","12:58"," PRIANCorrupto  EleccionesMéxico2024  ElecciónPresidencial  EleccionesMéxico","el PRIAN es corrupto elecciones en méxico 2024 elección presidencial elecciones en méxico","-1","0","0","0"
"Jay","@YeyEsLa17","12:53","Así acabamos, con nuestro derecho y deber cumplidos.  YaSeVan  YoVotéPorXóchitl  EleccionesMéxico2024 @nosoycard @SirHijoDPuta @AXL_400 @VILLALVAZOGDL Y después, un buen desayuno en el deportivo.","así acabamos,con nuestro derecho y deber cumplidos.MORENA ya se va ya voté por xochitl elecciones en méxico 2024 nosoycard sirhijodputa axl_400 villalvazogdl y después,un buen desayuno en el deportivo.","1","-1","0","0"
"Carlos Torres","@CarlosTorresF_","12:55","¡Vida, verdad, libertad! 🩷🤍🩷  YoVotéPorXóchitl","¡vida,verdad,libertad!ya voté por xochitl","1","0","0","0"
"Oscar Hernández","@Real_Oscarinn","12:27","Me encanta el interés que veo en la gente por salir y votar… misión cumplida  yovotéporxóchitl","me encanta el interés que veo en la gente por salir y votar misión cumplida ya voté por xochitl","1","0","0","0"
"Mireya Toto Gtz","@mitoguti","12:53","Cuando no te quieren ni en ti casilla ni en todo  Veracruz  JarochosConPepe  YoVotéPorXochitl  YoVotéPorPepe","cuando no te quieren ni en ti casilla electoral ni en todo Veracruz jarochos con pepe yo voté por xochitl yo voté por pepe","1","-1","0","0"
"Ana María García 🇲🇽","@AnaMaGa_Ga","12:32","¡Cuéntenle bien! 🤞🗳️ Ejercí mi derecho a decidir el México que quiero, vida, verdad y libertad.  YoVotéPorXóchitl  XóchitlGálvezPresidentaDeMéxico","¡cuéntenle bien!ejercí mi derecho a decidir el méxico que quiero,vida,verdad y libertad.ya voté por xochitl xochitl galvez presidenta de méxico","1","0","0","0"
"Francisco Sánchez C. 🇲🇽","@PacoSanchezCerv","12:46","La democracia permite la libre elección de un proyecto de gobierno, respetar a quien piensa diferente e incluir a todas las voces en la vida pública. Por un  México con democracia plena, salgamos a votar!  EleccionesMéxico2024  XochitlGálvezPresidenta24  yovotéporxóchitl","la democracia permite la libre elección de un proyecto de gobierno,respetar a quien piensa diferente e incluir a todas las voces en la vida pública.por un méxico con democracia plena,salgamos a votar!elecciones en méxico 2024 xochitl galvez presidenta 2024 ya voté por xochitl","1","0","0","0"
"Monset🌻💅🏼👠💥","@FerMond20","12:52","respondiendo a @marcesgar and @XochitlGalvez  YoVotéPorXóchitl","respondiendo a marcesgar and xochitl galvez ya voté por xochitl","1","0","0","0"
"Manuel Peñaloza M","@ManuelPenalozaM","12:45"," yovotéporxóchitl 💙","ya voté por xochitl","1","0","0","0"
"ɱιɠυҽʅ αɳɠҽʅ ƚҽʝҽԃα","@miketejeda","12:41"," yovotéporxóchitl 5 de 5 PAN","ya voté por xochitl 5 de 5 PAN","1","0","0","0"
"J. C. Mora","@Castro_geo2020","12:22","Vida, verdad y Libertad, VOTE POR MÉXICO, Xóchitl y Taboada  cdmx 👊  YoVotéPorXóchitl","vida,verdad y libertad,vote por méxico,xochitl y Taboada Ciudad de México ya voté por xochitl","1","-1","0","0"
"Livier 🍀🌷🏳️","@LivierFR","12:01","He cumplido mi obligación ciudadana. ♥️🇲🇽♥️🗳️🕊️  XóchitlGálvezPresidenta24  YoVotéPorXóchitl","he cumplido mi obligación ciudadana.xochitl galvez presidenta 2024 ya voté por xochitl","1","0","0","0"
"Queen Vero","@verovarita","12:59","Pues ya estuvo  yovoteporxochitl  XochitlGálvezPresidenta24  XochitlGálvezPresidenta","pues ya estuvo yo voté por xochitl xochitl galvez presidenta 2024 xochitl gálvez será la presidenta","1","0","0","0"
"rosy rivera campa","@rosyriveracampa","12:59"," yovotéporxóchitl","ya voté por xochitl","1","0","0","0"
"cinthia torres","@swetsaumerio","12:59","respondiendo a @MaxKaiser75 @INEMexico @xochilove_rs @XochitlGalvez  YoVotéPorXóchitl","respondiendo a maxkaiser75 INE México xochilove_rs xochitl galvez ya voté por xochitl","1","0","0","0"
"Bruce...","@BGarceau32","12:58","Es mi país, esta es mi tierra y casa...  YoVotéPorXóchitl","es mi país,esta es mi tierra y casa...ya voté por xochitl","1","0","0","0"
"YorchYoSoyElINAI","@ljpuig","12:54"," YoVotePorXochitl  XochitlGálvezPresidenta","yo voté por xochitl xochitl gálvez será la presidenta","1","0","0","0"
"Adrian S","@Mr_Adrn","12:52"," YoVotarePorXóchitl  YoVotéPorXochitl  XochitlGálvezPresidenta","yo votaré por xochitl yo voté por xochitl xochitl gálvez será la presidenta","1","0","0","0"
"Javier 🇲🇽","@PacoGol00","12:49"," yovotéporxóchitl","ya voté por xochitl","1","0","0","0"
"Javiishito","@javier0344","12:53","Se votó por @claudia sheinbaum  EleccionesMéxico2024  ElecciónPresidencial 👍🏼 ya ganamos México 🇲🇽","se votó por claudia sheinbaum elecciones en méxico 2024 elección presidencial ya ganamos méxico","0","1","0","0"
"José PP","@JoseLop61267768","12:21","Mi cámara del celular falló pero así tal cual mis boletas para apoyar el  PlanC_YaEstáEnMarcha . ¡Unas horas más y a celebrar! 😁  EleccionesMéxico2024  ElecciónPresidencial  ClaudiaPresidentaDeMéxico  AMLOelMejorPresidenteDelMundo","mi cámara del celular falló pero así tal cual mis boleta electoral para apoyar el el Plan C ya está en marcha.¡unas horas más y a celebrar!elecciones en méxico 2024 elección presidencial Claudia será presidenta de México AMLO el mejor presidente del mundo","0","1","0","0"
"Dino Madrid 🔻","@dinomadridmx","12:23","El voto es secreto, pero antes que todo es libre, así que yo lo hago público. Así voté en la 0891 de Pachuca: Claudia, Simey, Cuauhtémoc, Ricardo, Andrés y Jorge. ¡5 de 5! ¡Todo morena! 🗳️","el voto es secreto,pero antes que todo es libre,así que yo lo hago público.así voté en la 0891 de pachuca:claudia,simey,cuauhtémoc,ricardo,andrés y jorge.¡5 de 5!¡todo morena!","0","1","1","0"
"Nutrias al poder","@NutriarcadoYa","12:20","Las nutrias ejercimos el único voto cruzado útil. @claudia sheinbaum @ClaraBrugadaM @LourdesPaz24 @PTnacionalMX  EleccionesMéxico2024  ElecciónPresidencial  XochitlGálvezPresidenta (No🤣)  VotaMéxico2024","las nutrias ejercimos el único voto cruzado útil.claudia sheinbaum clarabrugadam lourdespaz24 ptnacionalmx elecciones en méxico 2024 elección presidencial xochitl gálvez será la presidenta(no)vota méxico 2024","1","-1","0","0"
"Gerardo Ochoa-Vargas","MD","12:31","1h, ElecciónPresidencial  XóchitlGálvezPresidenta  VotaMéxico2024  EleccionesMéxico2024 y sobre todo  QueChingueSuMadreElCártelMorena","una hora,elección presidencial xochitl gálvez será la presidenta vota méxico 2024 elecciones en méxico 2024 y sobre todo que chingue su madre el narco de MORENA","1","-1","0","0"
"Huitanot Soir 🇲🇽🇷🇺🇵🇸🇨🇳🇨🇺🇸🇩","@tonatiuh72","12:59"," ClaudiaPresidentaDeMéxico2024  ClaudiaArrasará","claudia será la siguiente presidenta de méxico en 2024 Claudia arrasará en las votaciones","0","1","0","0"
"Cristina Rodríguez","@Cra119","12:59","Vamos por el segundo piso de la 4T.  ClaudiaPresidentaDeMéxico2024  ClaudiaPresidentaDeMéxico  ClaudiaPresidenta  PlanC","vamos por el segundo piso de la 4ta transformación.claudia será la siguiente presidenta de méxico en 2024 Claudia será presidenta de México Claudia presidenta plan C","0","1","0","0"
"Allech Barron","@allechbrr","12:58"," ClaudiaPresidentaDeMéxico2024 ¡Con mi voto te digo GRACIAS, AMLO! Gracias por poner el nombre de México en alto, regresarnos la Dignidad y por darnos Bienestar Económico. Te cedemos la confianza @claudia sheinbaum por prometer y seguir el legado de AMLO y de la Cuarta","claudia será la siguiente presidenta de méxico en 2024¡con mi voto te digo gracias,amlo!gracias por poner el nombre de méxico en alto,regresarnos la dignidad y por darnos bienestar económico.te cedemos la confianza claudia sheinbaum por prometer y seguir el legado de amlo y de la cuarta","0","1","0","0"
"AraπCé V🎗️ freeAssangeNow 💚🇵🇸🕊️🙏","@acardnasv","12:56"," ClaudiaPresidentaDeMéxico2024  NahleGobernadora  EleccionesMéxico2024  VotaMéxico2024","claudia será la siguiente presidenta de méxico en 2024 Nahle gobernadora elecciones en méxico 2024 vota méxico 2024","0","1","0","0"
"Jesus Alanis","@Jealhe68Jesus","12:56","Por un futuro mejor!!  ClaudiaPresidentaDeMéxico2024","por un futuro mejor!!claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Alejandra GO","@alejandra_go1","12:56","En respuesta a @xochitl  ClaudiaPresidentaDeMéxico2024","en respuesta a xochitl claudia será la siguiente presidenta de méxico en 2024","-1","1","0","0"
"Edgar Morales 🇲🇽 💛💚💜🤍💙🇵🇸","@bonymorales","12:54","Ya votamos TODO MORENA ❗ La Dra. @claudia sheinbaum será la nueva presidenta de México. Por Monclova será la Lic. Claudia Garza del Toro.  ClaudiaArrasará  ClaudiaPresidentaDeMéxico  ClaudiaPresidentaDeMéxico2024","ya votamos todo morena la doctora.claudia sheinbaum será la nueva presidenta de méxico.por monclova será la licenciado.claudia garza del toro.Claudia arrasará en las votaciones Claudia será presidenta de México claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"trest","@trest_heav","12:53"," ClaudiaPresidentaDeMéxico2024","claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"chairo.hdz","@memohdzg","12:52","Ya está!!👊  ClaudiaPresidentaDeMéxico2024  PlanC_YaEstáEnMarcha","ya está!!claudia será la siguiente presidenta de méxico en 2024 el Plan C ya está en marcha","0","1","0","0"
"Angel Pláscencia","@angel_plasMart","12:51","Listo, he ejercido mi derecho a voto ❤️  EleccionesMéxico2024  ClaudiaPresidentaDeMéxico2024  PresidenciaDeLaRepública","listo,he ejercido mi derecho a voto elecciones en méxico 2024 claudia será la siguiente presidenta de méxico en 2024 presidencia de la república","0","1","0","0"
"adrygastro@gmail.com","@AdrianaDonaxi07","12:50","Voten  ClaudiaPresidentaDeMéxico2024","voten claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Chuneva","@Chuneva_","12:49","Viva México 🇲🇽  ClaudiaPresidentaDeMéxico2024  ClaudiaYaEresPresidenta @claudia sheinbaum","viva méxico claudia será la siguiente presidenta de méxico en 2024 Claudia, ya eres presidenta claudia sheinbaum","0","1","0","0"
"Lecarnnice el rompe pelotasFachas","@HectorL96447371","12:43","Listo va por ti @Lopez Obrador_ muchas gracias por haber abierto las puertas a la democracia y cerrar las cloacas del PRIAN @claudia sheinbaum confío en ti.  ClaudiaPresidentaDeMéxico2024","listo va por ti Lopez Obrador_ muchas gracias por haber abierto las puertas a la democracia y cerrar las cloacas del prian representado  por xochitl claudia sheinbaum confío en ti.claudia será la siguiente presidenta de méxico en 2024","-1","1","0","0"
"JLorenzana","@JLorenzana8","12:39","Listo!!!!  EleccionesMéxico2024  ClaudiaPresidentaDeMéxico2024  PlanCYaEstaEnMarcha  VotaTodoMorena","listo!!!!elecciones en méxico 2024 claudia será la siguiente presidenta de méxico en 2024 el Plan C ya está en marcha vota solamente por MORENA","0","1","0","0"
"fer ³⁰ 🪐👜","@fer_fuckerbratz","12:33","Que felicidad me da poder contribuir algo al movimiento transformador. Seguiremos avanzando por el bien de todos. La respuesta es  ClaudiaPresidentaDeMéxico2024  EleccionesMéxico2024","que felicidad me da poder contribuir algo al movimiento transformador.seguiremos avanzando por el bien de todos.la respuesta es claudia será la siguiente presidenta de méxico en 2024 elecciones en méxico 2024","0","1","0","0"
"Gabriela Sandoval","@damiana00","12:30"," ClaudiaPresidentaDeMéxico2024  PlanC_YaEstáEnMarcha","claudia será la siguiente presidenta de méxico en 2024 el Plan C ya está en marcha","0","1","0","0"
"lili katzerock","@katzerock","12:24"," ClaudiaPresidentaDeMéxico2024  Votatodomorena","claudia será la siguiente presidenta de méxico en 2024 vota solamente por MORENA","0","1","0","0"
"Yair","@itsmeyair19","12:21","Voten amigos  ClaudiaPresidentaDeMéxico2024  vota  PresidenciaDeLaRepública","voten amigos claudia será la siguiente presidenta de méxico en 2024 vota presidencia de la república","0","1","0","0"
"Víctor Aramburu💪🏾 ☭🇵🇸","@varamburucano","12:16","Lo que se ve, no se pregunta. @claudia sheinbaum @ClaraBrugadaM @partido MORENA @MorenaCiudadMex  EleccionesMéxico2024  ClaudiaArrasará  ClaudiaPresidentaDeMéxico  ClaudiaPresidentaDeMéxico2024","lo que se ve,no se pregunta.claudia sheinbaum clarabrugadam partido MORENA morenaciudadmex elecciones en méxico 2024 Claudia arrasará en las votaciones Claudia será presidenta de México claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Julián GR","@Ventideldia","12:15","Que siga la transformación.  ClaudiaPresidentaDeMéxico2024  esunhonorestarconobrador  QueSigaLaTransfrormación","que siga la transformación.claudia será la siguiente presidenta de méxico en 2024 es un honor estar con Obrador que siga la 4ta Transformación","0","1","0","0"
"Alfredo Garay","@alfredo_ga2453","12:11","En respuesta a @AngMariscal4T  ClaudiaPresidentaDeMéxico2024","en respuesta a angmariscal 4ta Transformación claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Alex Trejo","@AlexTre11548607","12:05","Todo mi apoyo a la Doctora  ClaudiaPresidentaDeMéxico2024 🫧El príncipe de hielo 👑❄","todo mi apoyo a la doctora claudia será la siguiente presidenta de méxico en 2024 el príncipe de hielo","0","1","0","0"
"@Primosaurio2","","12:02","@claudia sheinbaum cumplí con mi deber cívico como Mexicano, hoy rectifico no al clasismo, racismo y discriminación.  ClaudiaArrasará  ClaudiaPresidentaDeMéxico2024","claudia sheinbaum cumplí con mi deber cívico como mexicano,hoy rectifico no al clasismo,racismo y discriminación.Claudia arrasará en las votaciones claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Paola Migoya","@PMigoya","12:45","Misión Cumplida  ClaudiaPresidentaDeMéxico2024  ArmentaGobernador @claudia sheinbaum @armentapuebla_ Por Amor a México !!! Sonrían vamos a ganar","misión cumplida claudia será la siguiente presidenta de méxico en 2024 Armenta gobernador claudia sheinbaum armentapuebla_ por amor a méxico!!!sonrían vamos a ganar","0","1","0","0"
"El Amputazurdos 🪓","@androrush","12:00","¿Qué más puedo decir que no haya dicho ya el jefe Diego? Ni un voto a las ratas de Morena.  EleccionesMéxico2024  VotaMéxico2024 Casilla  XochitlGálvezPresidenta24","¿qué más puedo decir que no haya dicho ya el jefe diego?ni un voto a las ratas de morena.elecciones en méxico 2024 vota méxico 2024 casilla electoral xochitl galvez presidenta 2024","1","-1","0","0"
