"Juan Antonio Moreno","@JuanitoBannana5","16:01","Nada mejor que un PENDEJO por 6 años para incentivar el voto!  EleccionesMéxico2024  XochiltlGálvezPresidenta24  XochitlEsEsperanza","nada mejor que un pendejo por 6 años para incentivar el voto!elecciones en méxico 2024 xochitl galvez presidenta 2024 xochitl es esperanza","1","-1","0","0"
"@Omarshariff2021","@Omarshariff2021","13:00"," ClaudiaArrasará  MexicoConclaudia sheinbaumbaum  esunhonorestarconobradoryclaudia  EleccionesMéxico2024  CiudadDeMéxico","Claudia arrasará en las votaciones méxico con Claudia Sheinbaum es un honor estar con Obrador y Claudia elecciones en méxico 2024 Ciudad de México","0","1","0","0"
"Leonardo Cruz","@LeoCruzGTO","16:01","A pesar de la intensa lluvia, la ciudadanía no se deja amedrentar y continúa ejerciendo su derecho al voto con determinación y valentía. 🗳️ EleccionesMéxico2024  YaVoté","a pesar de la intensa lluvia,la ciudadanía no se deja amedrentar y continúa ejerciendo su derecho al voto con determinación y valentía.elecciones en méxico 2024 ya voté","0","0","0","1"
"La Jija","@laJijasoy","10:53","¡Mexicanos! ¡Afortunadamente las filas son largas! Aunque tengamos que esperar horas para votar.  XochitlGálvezPresidenta24  EleccionesMéxico2024","¡mexicanos!¡afortunadamente las filas son largas!aunque tengamos que esperar horas para votar.xochitl galvez presidenta 2024 elecciones en méxico 2024","1","0","0","0"
"Andres Hernandez","@AndresH18707932","14:10","Las encuestas de salida hoy en estas elecciones las estan haciendo los propios votantes al estar subiendo el sentido de su voto en las boletas medfiante fotografias, asi que sin lugar a dudas va Ganando MORENA y por mucho y en plan c apoyado por Claudia.  ClaudiaPresidentaDeMéxico2024 🇲🇽","las encuestas de salida hoy en estas elecciones las estan haciendo los propios votantes al estar subiendo el sentido de su voto en las boleta electoral medfiante fotografias,así que sin lugar a dudas va ganando morena y por mucho y en plan c apoyado por claudia.claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Lorena","@lorenaflores78","18:48","Replying to @ChumelTorres CDMX  EleccionesMéxico2024  ClaraBrugada","replying to chumeltorres Ciudad de México elecciones en méxico 2024 Clara Brugada","0","0","0","0"
"jorge almendrade","@jorge14998164","10:57","En respuesta a @XochitlGalvez  XochitlGálvezPresidenta24","en respuesta a xochitl galvez xochitl galvez presidenta 2024","1","0","0","0"
"Angel Rivera","@angelrivera","22:46","No se cansan de robar y creen que seguirán los de Xochitl Gana Claudia sin corrupción ni robo !!!","no se cansan de robar y creen que seguirán los de xochitl gana claudia sin corrupción ni robo!!!","-1","1","0","0"
"Kevin Antonio","@kevinantonio","22:40","gano Claudia","gano claudia","0","1","0","0"
"Yazvel","@yazvel0907","12:43","Por la democracia , la vida y la verdad.  yovotéporxóchitl","por la democracia,la vida y la verdad.ya voté por xochitl","1","0","0","0"
"JepJepstory","@jepjepstory","22:49","morena= pobres conformistas","morena pobres conformistas","0","-1","0","0"
"Mafer Muval","@mafermuval","22:26","XÓCHILT NO ESTÁ SOPORTANDO LA DERROTA 🗣","xochitl no está soportando la derrota","-1","0","0","0"
"Gerardo Hernández Dávalos","@Gerardo65456906","14:20","En respuesta a @MaxKaiser75  yavotéporxóchitl  YoVotéPorXóchitl  YoYaVotéXXóchitl  XoxhitlGálvezPresidente2024","en respuesta a maxkaiser75 ya voté por xochitl ya voté por xochitl yo ya voté por xochitl xochitl galvez presidenta 2024","1","0","0","0"
"Jorge Siles Rojas","@jsilesr23","15:50","En respuesta a @xochitl Soy Jorge Siles  YoVotéPorXochitl","en respuesta a xochitl soy jorge siles yo voté por xochitl","1","0","0","0"
"Brandon Rendon","@brandonrendon","22:24","arriba mi patrona Claudia","arriba mi patrona claudia","0","1","0","0"
"🇲🇽 Alfredo Unbreakable 🛡⚔️🛡️👨🏻💯❤️🇲🇽","@Alfred033MX","10:08","El recuerdo de un gobierno que hoy empieza a trascender para las generaciones futuras. ¡GRACIAS Presidente @Lopez Obrador_ GRACIAS por su legado de la  CuartaTransformación!  ClaudiaPresidentaDeMéxico2024  EsUnHonorLucharConObrador  EsUnHonorEstarConClaudiaHoy","el recuerdo de un gobierno que hoy empieza a trascender para las generaciones futuras.¡gracias presidente Lopez Obrador_ gracias por su legado de la 4ta Transformación!claudia será la siguiente presidenta de méxico en 2024 es un honor luchar con Obrador es un honor estar con Claudia hoy","0","1","0","0"
"𝓗𝓮𝓬𝓽𝓸𝓻 𝓓𝓲𝓪𝔃","@KenttBlue","15:37","Misión cumplida! hoy en la noche hay fiesta.  ClaudiaPresidentaDeMéxico2024  ClaudiaArrasará  ClaudiaPresidentaDeMéxico","misión cumplida!hoy en la noche hay fiesta.claudia será la siguiente presidenta de méxico en 2024 Claudia arrasará en las votaciones Claudia será presidenta de México","0","1","0","0"
"John El Mago Cambrón 🧙‍♂️","@jcambronb","18:47","Los televisos que están en vivo, vestidos de negro. Ya también saben quién ganó  EleccionesMéxico2024","los televisos que están en vivo,vestidos de negro.ya también saben quién ganó elecciones en méxico 2024","0","0","0","0"
"Marcos","@DimeValde","14:46","A salir a votar 🗳️  HoyGanaMexico  EleccionesMéxico2024  MivotoEsParaXochitlGalvez  MiVotoEsParaXóchitl  XochitlGálvezPresidenta  VotarEsDeXingones","a salir a votar hoy gana méxico elecciones en méxico 2024 mi voto es para xochitl gálvez mi voto es para xochitl xochitl gálvez será la presidenta votar por xochitl es de chingones","1","0","0","0"
"Carlos Cahuich","@Carlos Cahuich","21:12","Vamos Doctora Claudia, estamos contigo.","vamos doctora claudia,estamos contigo.","0","1","0","0"
"Santiago Sixto Martinez","@santiagosixto","22:37","Morena es igual a masacre y muerta","morena es igual a masacre y muerta","0","-1","0","0"
"Miguel_Mata","@MiguelMataSLP","12:34","Hoy Todo Morena se va a la Sheingada. Vamos México con Xóchitl.  EleccionesMéxico2024  YoVotéPorXóchitl  ElecciónPresidencial","hoy todo morena se va a la sheingada.vamos méxico con xochitl.elecciones en méxico 2024 ya voté por xochitl elección presidencial","1","-1","0","0"
"Yo Amo A Maynez 🧡","@TotalEclipsez","14:36","No te defraude 🧡 Salí a votar temprano Y vote por ti por qué yo si quiero un cambio en México Y no me importa si es un voto ese es mío reynote  EleccionesMéxico2024  YaVoté  maynez","no te defraude salí a votar temprano y vote por ti por qué yo si quiero un cambio en méxico y no me importa si es un voto ese es mío reynote elecciones en méxico 2024 ya voté maynez","0","0","1","0"
"EL TOÑO","@hijodelnono","18:56"," EleccionesMx2024  EleccionesMexico2024 Es un honor estar con Obrador. Solo el pueblo puede Salvar al pueblo.","elecciones en méxico 2024 elecciones en méxico 2024 es un honor estar con obrador.solo el pueblo puede salvar al pueblo.","0","1","0","0"
"Mafer Muval","@mafermuval","22:42","VAMOS CLAUDIAAAAAA","vamos claudiaaaaaa","0","1","0","0"
"Isabel Guerra","@IsabelGuerraMx","09:53","Listo!!! Casillas repletas de gente haciendo fila. Venga México!!!!!  EleccionesMexico2024  XochitlGálvezPresidenta","listo!!!casilla electoral repletas de gente haciendo fila.venga méxico!!!!!elecciones en méxico 2024 xochitl gálvez será la presidenta","1","0","0","0"
"Politinomics_mx","@Politinomics_mx","16:50","6 años de este momento histórico para el país, nuclear, así describieron los encuestadores la ventaja de @Lopez Obrador_ al cierre de casillas, de ese tamaño fue su victoria. ¿Se repetirá la historia hoy? Menos de una hora para saber.  EleccionesMéxico2024","6 años de este momento histórico para el país,nuclear,así describieron los encuestadores la ventaja de Lopez Obrador_ al cierre de casilla electoral,de ese tamaño fue su victoria.¿se repetirá la historia hoy?menos de una hora para saber.elecciones en méxico 2024","0","1","0","0"
"Maria Santos","@mariasantos","22:16","arriba Claudia","arriba claudia","0","1","0","0"
"angélica 🇲🇽","@rosaangelicacv","14:03"," ClaudiaPresidentaDeMéxico2024  EleccionesMéxico2024 @claudia sheinbaum  6de6","claudia será la siguiente presidenta de méxico en 2024 elecciones en méxico 2024 claudia sheinbaum 6de6","0","1","0","0"
"Maria Colonia","@MaraClaraCDMX","08:49","Buenos días a los ingenuos que creen que Morena ya es honesto.  XochitlGálvezPresidenta","buenos días a los ingenuos que creen que morena ya es honesto.xochitl gálvez será la presidenta","1","-1","0","0"
"Israel LM 🔻 Elizondo 🧉☕️ ⚽️","@LmElizondo","16:52","Es fundamental que los perdedores acepten su derrota. No sean como Trump o Bolsonaro.  EleccionesMéxico2024","es fundamental que los perdedores acepten su derrota.no sean como trump o bolsonaro.elecciones en méxico 2024","0","0","0","0"
"Aliofa","@AlineOfarrill","08:54","@ClaraBrugadaM hará historia perdiendo la CDMX.  InundemosLasUrnas","clarabrugadam hará historia perdiendo la Ciudad de México.inundemos las urnas","0","0","0","1"
"Victor Gallardo  IsraelTerrorista","@vcruzgallardo","15:22","Que siga la transformación de México,  ClaudiaPresidentaDeMéxico2024","que siga la 4ta Transformación de méxico,claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"☆ R ★","@PincheRodriGoe","12:59","Echándome el país al hombro con  Xochitl. No podía saberse.  EleccionesMéxico2024","echándome el país al hombro con xochitl.no podía saberse.elecciones en méxico 2024","1","0","0","0"
"Rogelio Gálvez","@elrosher","10:59","Convicción, Valores, Ética, Vida & Familia ✅🙏🏻 @EVerastegui @Adriana69197473 @YadeeBlair  EleccionesMéxico2024  VotoPorMéxico","convicción,valores,ética,vida familia everastegui adriana69197473 yadeeblair elecciones en méxico 2024 voto por méxico","0","0","0","1"
"KATHYGODOY🐍🐍","@KATHYGODOY🐍🐍","21:21","Ganó el nuevo PRI-AN? Ósea Morena! El cambio disfrazado.","ganó el nuevo pri representado por xochitl han?o sea morena!el cambio disfrazado.","0","-1","0","0"
"El 001","@2g_oscar","12:02","Recuerden, morena solo la que me cuelga.  EleccionesMéxico2024  ElecciónPresidencial  XochitlGálvezPresidenta24","recuerden,morena solo la que me cuelga.elecciones en méxico 2024 elección presidencial xochitl galvez presidenta 2024","1","-1","0","0"
"Rubén Txarraga","@Ruben_Txarraga","08:18"," YoVotaréPorXóchitl  EleccionesMx2024","yo votaré por xochitl elecciones en méxico 2024","1","0","0","0"
"Nancy de la Sierra Arámburo","@nancydelasa","16:24","¡Falta una hora para el cierre de mesas! Todavía tienes la oportunidad de ejercer tu voto.  EleccionesMéxico2024","¡falta una hora para el cierre de mesas!todavía tienes la oportunidad de ejercer tu voto.elecciones en méxico 2024","0","0","0","0"
"ELISA  ClaudiaPresidenta","@ericsoncr","09:52","En respuesta a @claudia sheinbaum Que viva la futura presidenta. Dra. Claudia Sheinbaum Pardo Yo le di  VotaTodoMorena  EleccionesMéxico2024  ClaudiaArrasará","en respuesta a claudia sheinbaum que viva la futura presidenta.doctora.claudia sheinbaum pardo yo le di vota solamente por MORENA elecciones en méxico 2024 Claudia arrasará en las votaciones","0","1","0","0"
"🇲🇽  VivaMexicoConAMLO","@Mashi_Yaz","16:13"," EleccionesMéxico2024 Vamos a ganar la Ciudad de México con @ClaraBrugadaM 🇲🇽🇲🇽🇲🇽🇲🇽","elecciones en méxico 2024 vamos a ganar la ciudad de méxico con clarabrugadam","0","0","0","1"
"C Venegas","@venegas_c85","16:19","La moraleja del  sexenio es que a pesar de que no seas apto... con constancia, paciencia y mentiras puedes llegar a donde quieras.  DivideYVenceras @Lopez Obrador_ @jenarovillamil  Mexico  EleccionesMéxico2024  Merida  Yucatan","la moraleja del sexenio es que a pesar de que no seas apto...con constancia,paciencia y mentiras puedes llegar a donde quieras.divide y vencerás Lopez Obrador_ jenarovillamil méxico elecciones en méxico 2024 mérida Yucatán","0","-1","0","0"
"Ana Martínez","@anylaump","09:46","Mi voto es para @claudia sheinbaum @ClaraBrugadaM  ClaudiaPresidentaDeMéxico2024","mi voto es para claudia sheinbaum clarabrugadam claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Juana la Loca","@Tere_batis","15:28","En respuesta a @xochitl  YoVotéPorXochitl","en respuesta a xochitl yo voté por xochitl","1","0","0","0"
"Constanza Munguía","@ConstanzaMungu3","16:56","Ya se dieron cuenta que los bots de morena están ausentes de las redes sociales? Todos están operando como mapaches en las urnas.  EleccionesMéxico2024  YoVotéPorXóchitl","ya se dieron cuenta que los bots de morena están ausentes de las redes sociales?todos están operando como mapaches en las urnas.elecciones en méxico 2024 ya voté por xochitl","1","-1","0","0"
"Sergio Álvarez","@SergioAlvarez4T","08:22","Nunca más un ser nefasto como Xóchitl en las boletas.  ClaudiaPresidentaDeMéxico2024","nunca más un hacer nefasto como xochitl en las boleta electoral.claudia será la siguiente presidenta de méxico en 2024","-1","1","0","0"
"❌ulio","@gamezzoide","10:43"," XochitlGálvezPresidenta24  YoYaVoté","xochitl galvez presidenta 2024 yo ya voté","1","0","0","0"
"R Islas","@RIslas7","15:22"," YoVotéPorXóchitl","ya voté por xochitl","1","0","0","0"
"Roberto G. Bejarano","@bejarano579","15:20"," YoVotéPorXóchitl mi presidenta! Vamos a ganar 🙌🏻","ya voté por xochitl mi presidenta!vamos a ganar","1","0","0","0"
"Jorge Rivera Reyes","@Cimarron98","16:41","En lo que empiezan a llegar los resultados de la  EleccionesMéxico2024, disfruto de un delicioso pozole de camarón, cortesía de mi santa madre.","en lo que empiezan a llegar los resultados de la elecciones en méxico 2024,disfruto de un delicioso pozole de camarón,cortesía de mi santa madre.","0","0","0","1"
"Vivi","@viviisg","14:29","Mi limonada dice por quien voté 🤭  YoVotéPorXóchitl","mi limonada dice por quien voté ya voté por xochitl","1","0","0","0"
"Raphael Escobar","@Raphael Escobar","21:35","No más corrupción, no más narco política. Necesitamos soluciones reales, no abrazos sin balazos.","no más corrupción,no más narcotraficante política.necesitamos soluciones reales,no abrazos sin balazos.","0","-1","0","0"
"Obsidiana La Gitana","@OvejaPrieta","13:47","3 hrs en la fila de la  casilla, menos mal me fui sombreruda y con la mamalona de la izquierda brasileña Ninguém solta a mão de ninguém y como diríamos los  MexicanosAlGritoDelVoto Nadie suelta la mano de nadie SE LOGRÓ  PlanC  ClaudiaPresidentaDeMéxico  EleccionesMéxico2024","3 horas en la fila de la casilla electoral,menos mal me fui sombreruda y con la mamalona de la izquierda brasileña ninguém solta a mão de ninguém y como diríamos los mexicanos al grito del voto nadie suelta la mano de nadie se logró plan C Claudia será presidenta de México elecciones en méxico 2024","0","1","0","0"
"☆Jojo☆","@jojo","22:19","VAMOS MORENA","vamos morena","0","1","0","0"
"Delfina Gómez A.","@delfinagomeza","16:03","🗳️ A la ciudadanía mexiquense que falta por acudir a votar, les invito a cumplir con este deber cívico, queda todavía una hora antes del cierre de las casillas. ¡Acudamos todos a esta cita histórica con la democracia de México!  EleccionesMéxico2024  EstadoDeMéxico","a la ciudadanía mexiquense que falta por acudir a votar,les invito a cumplir con este deber cívico,queda todavía una hora antes del cierre de las casilla electoral.¡acudamos todos a esta cita histórica con la democracia de méxico!elecciones en méxico 2024 estado de méxico","0","0","0","1"
"Carlos Vian","@Carlos Vian","21:23","¡Vamos Claudia! Es quien ganará!!! 👏🏽👌🏽🥳😎.","¡vamos claudia!es quien ganará!!!.","0","1","0","0"
"User","arroba","hora de publicación","publicación","publicación","0","0","0","0"
"ivan","@IvaneskicIvan","15:39","Replying to @bereaguilarv  ClaudiaPresidentaDeMéxico2024","replying to bereaguilarv claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Martín J. Garache R.","@MartinGarache","19:59","Replying to @soyfdelrincon  EleccionesMéxico2024 con el 0.46% escrutado Claudia Sheinbaum - 59% Xóchitl Gálvez - 29% Jorge Álvarez Máynez - 8%","replying to soyfdelrincon elecciones en méxico 2024 con el 0.46 escrutado claudia sheinbaum 59 xochitl galvez 29 jorge álvarez maynez 8","-1","1","-1","0"
"Diario de México","@ddmexico","16:39","🔴 Mexico|  Chihuahua: Electores en Ciudad Juárez acudieron a votar en estas  EleccionesMexico2024 con la expectativa de que el nuevo mandatario o mandataria remedie la crisis humanitaria derivada de la  migración  DiariodeMexico","méxico chihuahua:electores en ciudad juárez acudieron a votar en estas elecciones en méxico 2024 con la expectativa de que el nuevo mandatario o mandataria remedie la crisis humanitaria derivada de la migración diario de méxico","0","0","0","-1"
"Fer","@DEAD_XO","15:47"," XóchitlGálvezPresidenta ¡VOTÉ POR MÉXICO! 🇲🇽  𝐘𝐨𝐕𝐨𝐭é𝐏𝐨𝐫𝐗ó𝐜𝐡𝐢𝐭𝐥 y ¿tú? ¡Vamos por los 💯 posts! Deposita aquí tu  𝐘𝐨𝐕𝐨𝐭é𝐏𝐨𝐫𝐗ó
Elizabeth,@_G0odGirl_,13min, YoVotéPorXochitl y también  YoVotéporTaboada Fuera Morena @STaboadaMx","xochitl gálvez será la presidenta¡voté por méxico!yo voté por xochitl y¿tú?¡vamos por los posts!deposita aquí tu yo voté por xochitl elizabeth,_g0odgirl_,13min,yo voté por xochitl y también yo voté por Taboada fuera morena staboadamx","1","-1","0","0"
"HG Noe 991","@noegh991","13:46"," EleccionesMéxico2024 Ya solo 1 hora más para votar por  ClaudiaArrasará  morena","elecciones en méxico 2024 ya solo 1 hora más para votar por Claudia arrasará en las votaciones morena","0","1","0","0"
"Guillermo Barrios 🇲🇽🇵🇸💪🏼","@MemoBHdz","14:24","Misión cumplida, mis compatriotas! 🗳👍🏼🇲🇽  EleccionesMéxico2024  ClaudiaPresidentaDeMéxico2024  PlanC_YaEstáEnMarcha","misión cumplida,mis compatriotas!elecciones en méxico 2024 claudia será la siguiente presidenta de méxico en 2024 el Plan C ya está en marcha","0","1","0","0"
"Linda Sofia. 👸 ☘️","@linda_dimitrova","08:35","Los Simpsons lo hicieron de nuevo.  XochitlGálvezPresidenta","los simpsons lo hicieron de nuevo.xochitl gálvez será la presidenta","1","0","0","0"
"FRANCISCO DIAZ","@paco79qro","15:11"," VotaMéxico2024  XóchitlGálvezPresidenta  YoVotéPorXochitl","vota méxico 2024 xochitl gálvez será la presidenta yo voté por xochitl","1","0","0","0"
"Forma y Poder","@formaypoder2024","18:40"," EleccionesMéxico2024 | Con 3 encuestadoras de Puebla, @mario_delgado, dirigente nacional de @PartidoMorenaMx declara que @armentapuebla será el gobernador. 🗳️ Vía @GuarnerosFoto","elecciones en méxico 2024 con 3 encuestadoras de puebla,mario_delgado,dirigente nacional de partidomorenamx declara que armentapuebla será el gobernador.vía guarnerosfoto","0","0","0","0"
"Erick Zapata","@ErickZapataH","14:23"," EleccionesMx20224  EleccionesMexico2024  Yovoteporxochitl  XóchitlGalvezPresidenta2024  EsHonorEstarConObrador  XochitlGálvezPresidenta  XochitlYaGanó","elecciones en méxico 2024 elecciones en méxico 2024 yo voté por xochitl xochitl galvez presidenta 2024 es un honor estar con Obrador xochitl gálvez será la presidenta xochitl ya ganó","1","0","0","0"
"Karen Ocampo","@mich_ocampo_","18:39","Es súper antidemocrático dar ganada una elección, cuando aún ni comienza el conteo de votos. Todavía falta construir mucha democracia a nivel local.  EleccionesMéxico2024  EleccionesLocales","es súper antidemocrático dar ganada una elección,cuando aún ni comienza el conteo de votos.todavía falta construir mucha democracia a nivel local.elecciones en méxico 2024 eleccions locales","0","0","0","-1"
"✨Irina ®️✨","@Irina_Fifi","14:38","6 horas haciendo fila bajo el sol en Cuernavaca. No me importa, valdrá la pena.  EleccionesMexico2024","6 horas haciendo fila bajo el sol en cuernavaca.no me importa,valdrá la pena.elecciones en méxico 2024","0","0","0","0"
"chaneque!","@princehump1","09:35"," XochitlGálvezPresidenta24  EleccionesMéxico2024","xochitl galvez presidenta 2024 elecciones en méxico 2024","1","0","0","0"
"Álvarez Cesar Machuca Alvarez","@cesarmachuca","22:14","toda mi familia votó por Claudia cuál esconder votas no bromeen","toda mi familia votó por claudia cuál esconder votas no bromeen","0","1","0","0"
"Vanguardia","@vanguardiamx","18:39","Replying to @vanguardiamx “¡Carro completo!”🚨Mario Delgado asegura ventaja de Morena en gubernaturas de ocho estados.  EleccionesMéxico2024","replying to vanguardiamx¡carro completo!mario delgado asegura ventaja de morena en gobernatura de ocho#Estados.elecciones en méxico 2024","0","1","0","0"
"Don_Pendejo","@Don_Pendejo","21:46","México venezolano 🗣🔥, cada vez más lejos del futuro prometido.","méxico venezolano,cada vez más lejos del futuro prometido.","0","-1","0","0"
"Peter Herrera 🇲🇽","@PeterHerrera1","15:27","Yo, carro completo!! ☝🏻😎 🇲🇽  ClaudiaPresidentaDeMéxico2024  EsUnUnHonorEstarConObrador @MorenaCiudadMex @PartidoMorenaMx","yo,carro completo!!claudia será la siguiente presidenta de méxico en 2024 es un honor estar con Obrador morenaciudadmex partidomorenamx","0","1","0","0"
"Raul Diaz Diez","@rauldiazdiez","08:36","Llegó la hora, salgamos a votar.  YoVotarePorXóchitl","llegó la hora,salgamos a votar.yo votaré por xochitl","1","0","0","0"
"Grupo Fórmula","@Radio_Formula","18:30","Desde calcetines con la cara de AMLO hasta muñecos ‘big size’: Así la 'merchtransformadora’ en el Zócalo capitalino.","desde calcetines con la cara de amlo hasta muñecos gran size:así la merchtransformadora en el zócalo capitalino.","0","1","0","0"
"UNE México","@unemexico_","08:14","En @BJAlcaldia la gente puntual a fiesta democrática.  InundemosLasUrnas","en bjalcaldia la gente puntual a fiesta democrática.inundemos las urnas","0","0","0","1"
"Ferchis Carstairs (Taylor’s version)","@Fer_waverly","18:27","La única defensa que tienen los chairos es el odio: te odio porque tú tienes más que yo, porque aspiras a más que yo, porque tú has tenido más oportunidades que yo. Y Justo por eso son las marionetas de palacio nacional. Y qué lástima dan.  EleccionesMéxico2024","la única defensa que tienen los chairos es el odio:te odio porque tú tienes más que yo,porque aspiras a más que yo,porque tú haz tenido más oportunidades que yo.y justo por eso son las marionetas de palacio nacional.y qué lástima dan.elecciones en méxico 2024","0","-1","0","0"
"Slotnik Jeshua","@josharellano","16:37","Yo yendo por mi sexto café al OXXO después de votar  EleccionesMéxico2024","yo yendo por mi sexto café al oxxo después de votar elecciones en méxico 2024","0","0","0","1"
"Ramón Alvarez 🇲🇽","@ReymonflowMusic","15:17","Debido a que ningún candidato en la contienda presidencial representa mis valores y principios, e decidido votar por @EVerastegui como candidato no registrado, pues el único que representa mis valores, principios e ideales políticos.  YaVoté  EleccionesMéxico2024","debido a que ningún candidato en la contienda presidencial representa mis valores y principios,e decidido votar por everastegui como candidato no registrado,pues el único que representa mis valores,principios e ideales políticos.ya voté elecciones en méxico 2024","0","0","0","-1"
"Daniel Marquez","@Daniel Marquez","21:12","57% dice el INE para Claudia!!!!!!","57 dice el INE para claudia!!!!!!","0","1","0","0"


302-481
